year,run_number,time_idx,RMSE,ME,RMSE_GP,ME_GP
2009,1,32,5.47435989354777,1.9702278458867934,6.417544301685937,3.8178126002011066
2009,2,32,5.195766343543221,1.9354802585244963,5.81826334537428,3.378275194866647
2010,1,32,6.279878390267635,3.8947023245909063,5.972527761213195,3.4339312682481813
2010,2,32,6.112298657227623,3.6983452537056842,5.629452874934659,2.8559416717400445
2011,1,32,5.828637379729901,-0.5375362165414603,5.537823411305012,-1.5431585579258664
2011,2,32,5.698072470794787,-0.8607238563003055,5.358811401301217,-1.3388705523397277
2012,1,32,6.404014631613702,1.9645251361931035,5.751778222136326,1.989180708072865
2012,2,32,6.332925378541053,2.015154405017462,5.689357887340309,2.137884641804151
2013,1,32,5.064781463521434,-0.093290806470748,5.446790587892411,-0.878500591957522
2013,2,32,5.238134839089004,0.0508033100960186,5.636423357261745,-1.4289975965428805
2014,1,32,6.223097436048303,2.765423971631749,5.513025375231078,1.6622790504432168
2014,2,32,6.024944799042417,2.2050014912840807,5.480814145447049,1.586624135541804
2015,1,32,6.221306602442988,3.382367222061269,5.49869049062788,2.5111634989469915
2015,2,32,6.359089647774761,3.6738135503989535,5.372616378890938,2.358593574455421
