year,run_number,time_idx,RMSE,ME,RMSE_GP,ME_GP
2009,1,32,5.47435989354777,1.9702278458867934,6.417544301685937,3.8178126002011066
2009,2,32,5.195766343543221,1.9354802585244963,5.81826334537428,3.378275194866647
2009,3,32,5.333616987794512,1.700747265017865,6.275322369876586,3.6115154283856494
2009,4,32,5.027957204967828,1.3952680796345547,5.949823030712854,3.3286210988117126
2009,5,32,5.601041691207555,2.1462642232419946,6.0674512917275525,3.298545000599674
2009,6,32,5.607041975357133,2.4043827308182344,6.1489203280806,3.390825974235917
2009,7,32,5.154212665693889,1.797740340704032,6.056859526411055,3.4862472168335734
2009,8,32,5.098703016452413,1.530719367568829,5.711032075761202,2.9769867696191383
2009,9,32,5.153218492784849,1.579568420631298,5.986170128704771,3.117277662251295
2009,10,32,5.448167161810175,1.9759884207302087,6.414052538071215,3.754366205486526
2010,1,32,6.442277092768895,4.253545151979797,5.903823731566098,3.4304160253531997
2010,2,32,5.9955380052463525,3.6865670337042005,5.828071604817788,3.2668878137348067
2010,3,32,6.628804505538815,4.4784695640592185,5.883362013429393,3.6058930639665676
2010,4,32,6.87518628429364,4.731496258228834,6.20841684415546,3.83904099753257
2010,5,32,5.838325681305533,3.001459094657851,5.299664735212734,2.0618074039308953
2010,6,32,6.384980346291362,4.193287468426912,5.9765124202108675,3.468887728496513
2010,7,32,5.878808107144032,3.4825412759651533,5.938091240704837,3.5228481996010514
2010,8,32,6.248456609279001,4.019095182124842,6.11355164428405,3.696886778015086
2010,9,32,5.800730017630671,3.2303184551610604,5.61143502895604,3.0766456496917063
2010,10,32,5.559367431044115,2.880323069016237,5.195092479187074,2.0700412200070355
2011,1,32,6.067296367474238,-0.9770343416056055,5.44327313216115,-1.3627783599444032
2011,2,32,6.017511881251373,-1.2655226397666202,5.6924243927168785,-1.6826157310561394
2011,3,32,5.824787598429126,-0.8687657629608349,5.449155063701095,-1.5201611600304512
2011,4,32,5.8214597667649,-0.8917811108242933,5.642968662755852,-1.573110070124773
2011,5,32,5.849981267989229,-0.44191818237304686,5.628484356801418,-1.416995260131846
2011,6,32,5.790138391669365,-0.6332961744563594,5.524142517338258,-1.2803350344597397
2011,7,32,5.776452796600303,-0.6296775830019811,5.528043735148798,-1.0913351441121588
2011,8,32,5.758539241446397,-0.42954478658688294,5.646516991936573,-1.232139749947231
2011,9,32,5.831551825757201,-0.7749165176585981,5.442093096266401,-1.3562488934778838
2011,10,32,5.703909663516918,-0.5759345060700823,5.3657890062772635,-1.207891351929632
2012,1,32,6.877286415624603,2.741602157340439,5.916950521454912,2.47925152810925
2012,2,32,6.632109210981996,2.104894974506937,5.7879110182265965,2.5577574706815063
2012,3,32,6.62745710078134,1.8999732657010762,5.8485230251459965,2.0230425498514832
2012,4,32,6.666039506196334,1.3418742506420567,6.053854182833252,1.9288266560400191
2012,5,32,6.732259692203697,2.129048691958614,6.027918621993371,2.3358794530040825
2012,6,32,6.833839464272405,3.122643875240816,5.629091560198572,2.2774997530178562
2012,7,32,7.03164669465292,2.7838237455692116,5.956304779764634,2.175175034099401
2012,8,32,6.7833283306632355,2.5795341484277627,6.0052575114745315,2.227346207598828
2012,9,32,6.57941546619565,2.4089589771438975,5.974346472293901,2.354580962950364
2012,10,32,6.8515824788729525,1.4403124201931687,6.052862113305374,2.0151940031969287
2013,1,32,5.064092915400115,0.5263041835099418,5.768867147299663,-1.4912443663415105
2013,2,32,5.239778471374939,0.3329951714095755,5.543555279990617,-1.1337162528460114
2013,3,32,5.085797554809815,0.35816917497925305,5.338606672777704,-1.0655166679012946
2013,4,32,5.0029642365733284,0.15166063792748052,5.714483227014899,-1.408623566740069
2013,5,32,5.33922546759707,0.18424166115550183,5.773667124437109,-1.584085917295216
