year,run_number,time_idx,RMSE,ME,RMSE_GP,ME_GP
2009,1,32,5.47435989354777,1.9702278458867934,6.417544301685937,3.8178126002011066
2009,2,32,5.195766343543221,1.9354802585244963,5.81826334537428,3.378275194866647
2009,3,32,5.333616987794512,1.700747265017865,6.275322369876586,3.6115154283856494
2009,4,32,5.027957204967828,1.3952680796345547,5.949823030712854,3.3286210988117126
2009,5,32,5.601041691207555,2.1462642232419946,6.0674512917275525,3.298545000599674
2009,6,32,5.607041975357133,2.4043827308182344,6.1489203280806,3.390825974235917
2009,7,32,5.118724548489599,1.7060782516740842,6.045552572931885,3.482249637790826
2009,8,32,5.5075074779625695,2.041685490111903,6.144982593644035,3.4216162906228487
2009,9,32,5.310916266409381,1.771806596296107,6.38027711732977,3.704685418071527
2009,10,32,5.50477546345564,2.2099983205280127,6.262382985881757,3.596038045951481
2010,1,32,5.7297524706567255,3.262127565837818,5.7097543420964305,3.1012653197718896
2010,2,32,5.682745509149315,2.999537641993286,5.322117939028437,2.2189457337248566
2010,3,32,6.029739216608785,3.511808256626717,5.625260541271059,2.836141625098406
2010,4,32,6.048720339076527,3.5108664991235323,5.371922748614416,2.528112974514338
2010,5,32,5.518944763855173,2.7176263588130403,5.707048550469113,2.7934039622861224
2010,6,32,5.766834423408354,3.1789223098284514,5.517077937423925,2.479541145949329
2010,7,32,6.4151141931512194,4.21073010817409,5.757176089133029,3.033556657427116
2010,8,32,5.707664569090962,3.2238926352466812,5.49654160525672,2.77202323920094
2010,9,32,6.121452381598356,3.5797211238988083,6.051412226743049,3.6339101613788314
2010,10,32,5.898558472547707,3.5440883942214834,5.714303243494064,3.0544093346474352
2011,1,32,5.798864670956514,-0.4898635997893704,5.506706307578925,-1.4319492407232959
2011,2,32,5.6559602162327405,-0.44233210496841724,5.3688855168663405,-1.2120100715854558
2011,3,32,5.771196590398956,-1.0731256436390482,5.598943797483566,-1.28523913182336
2011,4,32,5.883737318568111,-1.2469980993088643,5.606364596853333,-1.7346265976061985
2011,5,32,5.9544816320816585,-0.9225598183407145,5.553648712775455,-1.4106475243042988
2011,6,32,5.701092018442008,-0.5337971693391254,5.380620544492078,-0.9425010554976654
2011,7,32,5.748200379448291,-0.5990733893813601,5.445052829373641,-1.0488611773949181
2011,8,32,5.593431696440573,-0.9179380793480357,5.460528895707979,-1.5311166374627276
2011,9,32,5.622570549273596,-0.5002482942714813,5.314974580978785,-1.1881330063028284
2011,10,32,5.724169129842554,-0.903154379243304,5.4240344092308,-1.4648252390587337
2012,1,32,6.796791918482532,2.5581959707109228,5.913063263418882,2.2937989337765847
2012,2,32,6.756774215494595,2.626508083788801,5.887265610474024,2.341042013531836
2012,3,32,7.026786683398589,2.9806953187737175,5.942946040551413,2.6868938443370673
2012,4,32,6.566049402984127,2.473857320545558,5.813237511489974,2.2861680461312126
2012,5,32,6.527626849358731,2.1146278913228276,5.864592071241403,2.3159280407345513
2012,6,32,6.840513693757976,2.121137562119698,5.994889242318774,2.5401161608785308
2012,7,32,6.508060801371204,2.0660014424651822,5.896975724765181,2.550348900238264
2012,8,32,6.868162331347014,2.379019189901389,5.836900932194742,2.3284231222264897
2012,9,32,6.52383502058214,2.1935796947949284,5.886945329618631,2.436859709972583
2012,10,32,7.031025809568046,2.908475760201381,5.9828954750571475,2.5070984521484108
2013,1,32,5.138188374197269,0.0056085220253189565,5.965636741574562,-1.9717197491771836
2013,2,32,5.115873971634909,0.23348948657921476,5.677214328023018,-1.2327811700806663
2013,3,32,5.071538507283985,0.7239816963917924,5.389802480131986,-0.7439247097383852
2013,4,32,5.207544874961062,0.8461252652078008,5.6022653077896765,-1.0264542950772957
2013,5,32,5.175174924943722,0.08101153929701231,5.535963773393798,-1.1188818192416399
