year,run_number,time_idx,RMSE,ME
2018,1,32,5.746546216377324,0.36565250765250185
2018,2,32,5.763083719176517,0.3220982016222284
2018,3,32,5.818088644001741,0.8926086126979897
2018,4,32,5.821586229393051,0.32144453382367566
2018,5,32,6.010816685462718,1.1428874441600032
2018,6,32,6.086502001482138,1.033224374756178
2018,7,32,6.534292541197448,2.475039609107274
2018,8,32,6.334480407996852,1.452531406213347
2018,9,32,6.548661329693375,2.1745325989885056
2018,10,32,6.65575287923107,2.4548423458328448
2019,1,32,5.206904677411502,-0.7724870843025408
2019,2,32,5.3892569028293,-1.313845075601739
2019,3,32,5.216041156340377,-1.2453602604546283
2019,4,32,5.12248064040166,-1.1067259541058332
2019,5,32,5.3102479105479,-0.8536440512876816
2019,6,32,5.709874762240719,-1.9315894213084228
2019,7,32,5.505206509030059,-1.4324822717783403
2019,8,32,5.60635305711536,-1.5076808873835528
2019,9,32,5.374292587933036,-0.7238974112463414
2019,10,32,5.611179307642372,-1.5195729002660634
2020,1,32,5.149900959055592,1.5420674164726205
2020,2,32,4.928810736586594,0.12781498906814262
2020,3,32,5.010098619697208,1.26193868868411
2020,4,32,4.970633666808719,1.044738402901307
2020,5,32,4.854581194329461,0.7972171617590863
2020,6,32,4.979303487027932,1.219933385434358
2020,7,32,5.032858574670983,1.1541501968348873
2020,8,32,4.97514111683642,0.9928497035116025
2020,9,32,4.975098507255351,0.8378742750503924
2020,10,32,5.037218359688123,1.2303920414136804
2021,1,32,5.719455879892269,0.25490297296995756
2021,2,32,5.825481677360414,0.9909061667739704
2021,3,32,5.7042363181819375,0.7923865882299279
2021,4,32,5.736355372701179,0.09632347988825972
2021,5,32,5.753924184183026,0.6793969882431851
2021,6,32,5.77978083837554,0.374639464962867
2021,7,32,5.727000113503232,1.155019514022335
2021,8,32,5.8406666916263585,0.9185305103178947
2021,9,32,5.805503017792088,0.6984450432562059
2021,10,32,5.939424779585435,0.7770395535294727
2022,1,32,6.69659042960346,-1.4686618368580657
2022,2,32,6.64985381225256,-0.774374356809652
2022,3,32,6.638332385547353,-0.17200097722827262
2022,4,32,6.9624174032667145,-1.301925319545674
2022,5,32,6.721008201919974,-1.1740651018214676
2022,6,32,6.777768618499904,-1.179251178255621
2022,7,32,6.577802348537482,-1.3191637835412655
2022,8,32,6.922782686687906,-0.7930667692760252
2022,9,32,6.717647257595452,-0.984470081779192
2022,10,32,6.879508302697686,-0.8164325592652807
2023,1,32,9.848709010080837,-2.190444883381786
2023,2,32,10.098647358904428,-2.312956689215587
2023,3,32,10.028229023613077,-2.4531391591698637
2023,4,32,10.056478537731397,-2.5941773693920127
2023,5,32,10.154713424260317,-2.3983959132574477
2023,6,32,10.064109996342768,-2.1194845491474728
2023,7,32,10.219593988516909,-2.009010483532908
2023,8,32,10.157965697496545,-2.1124481991287274
2023,9,32,10.186321692321844,-2.521249703178305
2023,10,32,9.983786962508795,-2.1026044281931853
